Pop_UID	Metapopulation_ID	Metapopulation_name	ISO_639_3	ASPM_n_alleles	ASPM_freq_avg	ASPM_freq_wavg	ASPM_n_databases	MCPH1_n_alleles	MCPH1_freq_avg	MCPH1_freq_wavg	MCPH1_n_databases	ALFRED_SUID
SA001493R	PO000464O	Dai	cuu	40	0.25	0.25	2	38	0.528	0.526526315789474	2	SA001493R
SA001493R	PO000464O	Dai	zhd	40	0.25	0.25	2	38	0.528	0.526526315789474	2	SA001493R
SA001494S	PO000581O	Lahu	lhu	40	0.1	0.1	2	40	0.85	0.85	2	SA001494S
SA001494S	PO000581O	Lahu	lhi	40	0.1	0.1	2	40	0.85	0.85	2	SA001494S
SA001495T	PO000582P	She	shx	34	0.23	0.233529411764706	2	38	0.8695	0.868473684210526	2	SA001495T
SA001496U	PO000583Q	Naxi	nxq	36	0.11	0.11	2	38	0.975	0.973684210526316	2	SA001496U
SA001497V	PO000584R	Tu	mjg	38	0.185	0.185789473684211	2	40	0.75	0.75	2	SA001497V
SA001498W	PO000011C	Yakut	sah	98	0.125	0.124897959183673	2	100	0.98	0.98	2	SA001498W
SA001500G	PO000022E	Cambodians_Khmer	khm	42	0	0	2	44	0.7935	0.7935	2	SA001500G
SA001501H	PO000084M	PNG	aau	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	amp	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	abt	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	kmn	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	bjh	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	bzf	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	can	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	wos	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	ian	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	iwm	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	kct	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	kbx	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	geb	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	kmo	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	mle	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	nux	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	msy	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	mtf	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	nnm	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	rao	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	dju	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	wax	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	wog	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	yss	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001501H	PO000084M	PNG	yee	66	0.575	0.574545454545455	2	68	0.911	0.911	2	SA001501H
SA001503J	PO000111D	French	fra	116	0.5	0.5	2	114	0.788	0.788035087719298	2	SA001503J
SA001504K	PO000042G	Basque	eus	78	0.355	0.344615384615385	2	96	0.8315	0.8315	2	SA001504K
SA001505L	PO000411G	Sardinian	srd	110	0.47	0.470181818181818	2	108	0.897	0.896740740740741	2	SA001505L
SA001505L	PO000411G	Sardinian	ita	110	0.47	0.470181818181818	2	108	0.897	0.896740740740741	2	SA001505L
SA001507N	PO000137L	Italians	ita	32	0.38	0.38	2	32	0.8775	0.8775	2	SA001507N
SA001508O	PO000586T	Orcadian	nrn	64	0.41	0.41	2	64	0.8265	0.8265	2	SA001508O
SA001508O	PO000586T	Orcadian	sco	64	0.41	0.41	2	64	0.8265	0.8265	2	SA001508O
SA001508O	PO000586T	Orcadian	eng	64	0.41	0.41	2	64	0.8265	0.8265	2	SA001508O
SA001509P	PO000017I	Adygei	ady	64	0.405	0.4053125	2	64	0.6565	0.65796875	2	SA001509P
SA001510H	PO000019K	Russians	rus	100	0.39	0.39	2	98	0.776	0.775673469387755	2	SA001510H
SA001511I	PO000034H	Pima	ood	100	0.02	0.02	2	100	0.94	0.94	2	SA001511I
SA001512J	PO000013E	Maya	yua	98	0.135	0.135102040816327	2	100	0.92	0.92	2	SA001512J
SA001513K	PO000264M	Amerindians	pio	52	0.02	0.02	2	48	1	1	2	SA001513K
SA001514L	PO000028K	Karitiana	ktn	96	0	0	2	90	1	1	2	SA001514L
SA001515M	PO000014F	Surui	sru	84	0	0	2	82	1	1	2	SA001515M
SA001681Q	PO000637Q	Burunge	bds	56	0.13	0.13	1	56	0.304	0.304	1	SA001681Q
SA001818S	PO000041F	Bantu	nso	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001818S	PO000041F	Bantu	sot	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001818S	PO000041F	Bantu	her	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001818S	PO000041F	Bantu	tsn	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001818S	PO000041F	Bantu	kua	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001818S	PO000041F	Bantu	ndo	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001818S	PO000041F	Bantu	kwm	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001818S	PO000041F	Bantu	lnb	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001818S	PO000041F	Bantu	nne	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001818S	PO000041F	Bantu	zul	32	0	0	2	32	0.3115	0.3115	2	SA001818S
SA001819T	PO000041F	Bantu	kik	48	0.04	0.04	2	48	0.25	0.25	2	SA001819T
SA001819T	PO000041F	Bantu	kam	48	0.04	0.04	2	48	0.25	0.25	2	SA001819T
SA001819T	PO000041F	Bantu	guz	48	0.04	0.04	2	48	0.25	0.25	2	SA001819T
SA001819T	PO000041F	Bantu	mer	48	0.04	0.04	2	48	0.25	0.25	2	SA001819T
SA001819T	PO000041F	Bantu	luy	48	0.04	0.04	2	48	0.25	0.25	2	SA001819T
SA002254N	PO000571N	Bedouin	ara	188	0.375	0.375106382978723	2	184	0.558	0.558521739130435	2	SA002254N
SA002254N	PO000571N	Bedouin	arb	188	0.375	0.375106382978723	2	184	0.558	0.558521739130435	2	SA002254N
SA002254N	PO000571N	Bedouin	ajp	188	0.375	0.375106382978723	2	184	0.558	0.558521739130435	2	SA002254N
SA002255O	PO000137L	Italians	ita	50	0.44	0.4392	2	52	0.7695	0.7695	2	SA002255O
SA002256P	PO000005F	Biaka	axk	126	0.06	0.06	2	126	0.263	0.263047619047619	2	SA002256P
SA002257Q	PO000008I	Druze	ara	184	0.525	0.525108695652174	2	182	0.616	0.616461538461538	2	SA002257Q
SA002257Q	PO000008I	Druze	arb	184	0.525	0.525108695652174	2	182	0.616	0.616461538461538	2	SA002257Q
SA002257Q	PO000008I	Druze	ajp	184	0.525	0.525108695652174	2	182	0.616	0.616461538461538	2	SA002257Q
SA002260K	PO000010B	Japanese	jpn	112	0.12	0.12	2	110	0.799	0.799381818181818	2	SA002260K
SA002261L	PO000012D	Melanesian_Nasioi	nas	74	0.11	0.11	2	74	0.731	0.731243243243243	2	SA002261L
SA002262M	PO000355N	Pashtun	pus	88	0.42	0.420454545454545	2	92	0.7955	0.7955	2	SA002262M
SA002262M	PO000355N	Pashtun	pbt	88	0.42	0.420454545454545	2	92	0.7955	0.7955	2	SA002262M
SA002262M	PO000355N	Pashtun	pbu	88	0.42	0.420454545454545	2	92	0.7955	0.7955	2	SA002262M
SA002262M	PO000355N	Pashtun	pst	88	0.42	0.420454545454545	2	92	0.7955	0.7955	2	SA002262M
SA003027M	PO000030D	Koreans	kor	106	0.13	0.13	1	106	0.833	0.833	1	SA003027M
SA003028N	PO000742N	Estonian	est	1948	0.45	0.45	1	1948	0.861	0.861	1	SA003028N
SA003028N	PO000742N	Estonian	ekk	1948	0.45	0.45	1	1948	0.861	0.861	1	SA003028N
SA003028N	PO000742N	Estonian	vro	1948	0.45	0.45	1	1948	0.861	0.861	1	SA003028N
SA003646T	PO000789Y	Gambian	man	1356	0.0265	0.0265	6	226	0.204	0.204	1	SA003646T
SA003646T	PO000789Y	Gambian	emk	1356	0.0265	0.0265	6	226	0.204	0.204	1	SA003646T
SA003646T	PO000789Y	Gambian	mku	1356	0.0265	0.0265	6	226	0.204	0.204	1	SA003646T
SA003646T	PO000789Y	Gambian	mlq	1356	0.0265	0.0265	6	226	0.204	0.204	1	SA003646T
SA003646T	PO000789Y	Gambian	mnk	1356	0.0265	0.0265	6	226	0.204	0.204	1	SA003646T
SA003646T	PO000789Y	Gambian	msc	1356	0.0265	0.0265	6	226	0.204	0.204	1	SA003646T
SA003646T	PO000789Y	Gambian	mwk	1356	0.0265	0.0265	6	226	0.204	0.204	1	SA003646T
SA004046O	PO000867V	Luhya	luy	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	bxk	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	ida	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	lkb	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	lko	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	lks	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	lri	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	lrm	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	lsm	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	lto	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	lts	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	lwg	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	nle	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	nyd	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	rag	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004046O	PO000867V	Luhya	myx	1188	0.0353333333333333	0.0353333333333333	6	396	0.227	0.227	2	SA004046O
SA004047P	PO000098R	African_Americans	eng	732	0.0738333333333333	0.0738333333333333	6	244	0.373	0.373	2	SA004047P
SA004048Q	PO000036J	Yoruba	yor	1296	0.0139166666666667	0.0139166666666667	6	432	0.2615	0.2615	2	SA004048Q
SA004049R	PO000018J	Finns	fin	1188	0.353583333333333	0.353583333333333	6	396	0.8588	0.8588	2	SA004049R
SA004050J	PO000412H	British	eng	1092	0.483583333333333	0.483583333333333	6	364	0.8326	0.8326	2	SA004050J
SA004057Q	PO000137L	Italians	ita	1284	0.429916666666667	0.429916666666667	6	428	0.77585	0.77585	2	SA004057Q
SA004058R	PO000009J	Han	cmn	1236	0.203916666666667	0.203916666666667	6	412	0.8254	0.8254	2	SA004058R
SA004059S	PO000009J	Han	yue	1260	0.147666666666667	0.147666666666667	6	420	0.8025	0.8025	2	SA004059S
SA004060K	PO000010B	Japanese	jpn	1248	0.15875	0.15875	6	416	0.7525	0.7525	2	SA004060K
SA004108N	PO000626O	Iberian	spa	1284	0.392583333333333	0.392583333333333	6	428	0.7455	0.7455	2	SA004108N
SA004109O	PO000503I	Colombian	spa	1128	0.313833333333333	0.313833333333333	6	376	0.82155	0.82155	2	SA004109O
SA004110G	PO000504J	Mexicans	spa	768	0.242166666666667	0.242166666666667	6	256	0.8479	0.8479	2	SA004110G
SA004111H	PO000638R	Puerto_Rican	eng	1248	0.235666666666667	0.235666666666667	6	416	0.79075	0.79075	2	SA004111H
SA004111H	PO000638R	Puerto_Rican	spa	1248	0.235666666666667	0.235666666666667	6	416	0.79075	0.79075	2	SA004111H
SA004238R	PO000464O	Dai	khb	1126	0.16125	0.161247779751332	6	382	0.73385	0.73448219895288	2	SA004238R
SA004238R	PO000464O	Dai	tdd	1126	0.16125	0.161247779751332	6	382	0.73385	0.73448219895288	2	SA004238R
SA004238R	PO000464O	Dai	thi	1126	0.16125	0.161247779751332	6	382	0.73385	0.73448219895288	2	SA004238R
SA004238R	PO000464O	Dai	cuu	1126	0.16125	0.161247779751332	6	382	0.73385	0.73448219895288	2	SA004238R
SA004238R	PO000464O	Dai	zhd	1126	0.16125	0.161247779751332	6	382	0.73385	0.73448219895288	2	SA004238R
SA004239S	PO000839U	Bengali	ben	1032	0.267333333333333	0.267333333333333	6	344	0.79925	0.79925	2	SA004239S
SA004240K	PO000675S	Punjabi	pan	1152	0.30725	0.30725	6	384	0.7658	0.7658	2	SA004240K
SA004240K	PO000675S	Punjabi	pnb	1152	0.30725	0.30725	6	384	0.7658	0.7658	2	SA004240K
SA004241L	PO000354M	Tamil	tam	1224	0.303916666666667	0.303916666666667	6	408	0.79905	0.79905	2	SA004241L
SA004242M	PO000336M	Afro_Caribbeans	bjs	1152	0.099	0.099	6	384	0.2945	0.2945	2	SA004242M
SA004242M	PO000336M	Afro_Caribbeans	eng	1152	0.099	0.099	6	384	0.2945	0.2945	2	SA004242M
SA004243N	PO000284O	Malinke	mnk	226	0.027	0.027	1	226	0.212	0.212	1	SA004243N
SA004244O	PO000640K	Mende	men	1020	0.0411666666666667	0.0411666666666667	6	340	0.159	0.159	2	SA004244O
SA004245P	PO000680O	Peruvian	spa	1020	0.111833333333333	0.111833333333333	6	340	0.86785	0.86785	2	SA004245P
SA004245P	PO000680O	Peruvian	que	1020	0.111833333333333	0.111833333333333	6	340	0.86785	0.86785	2	SA004245P
SA004245P	PO000680O	Peruvian	aym	1020	0.111833333333333	0.111833333333333	6	340	0.86785	0.86785	2	SA004245P
SA004246Q	PO000785U	Gujarati	guj	1236	0.29125	0.29125	6	412	0.7719	0.7719	2	SA004246Q
SA004247R	PO000891S	Telugu	tel	1224	0.259833333333333	0.259833333333333	6	408	0.755	0.755	2	SA004247R
SA004248S	PO000892T	Esan	ish	1188	0.03025	0.03025	6	396	0.2625	0.2625	2	SA004248S
SA004249T	PO000110C	Vietnamese	vie	1192	0.146583333333333	0.146584731543624	6	400	0.79785	0.7981515	2	SA004249T
SA004250L	PO000329O	European_Americans	eng	1188	0.399	0.399	6	396	0.803	0.803	2	SA004250L
SA004361O	PO000006G	Mbuti	les	38	0.211	0.211	1	38	0.184	0.184	1	SA004361O
SA004361O	PO000006G	Mbuti	efe	38	0.211	0.211	1	38	0.184	0.184	1	SA004361O
SA004361O	PO000006G	Mbuti	asv	38	0.211	0.211	1	38	0.184	0.184	1	SA004361O
SA004362P	PO000096P	Ibo	ibo	72	0.029	0.029	1	72	0.403	0.403	1	SA004362P
SA004363Q	PO000097Q	Hausa	hau	56	0	0	1	56	0.161	0.161	1	SA004363Q
SA004364R	PO000456P	Masai	mas	86	0.06	0.0725581395348837	2	88	0.31	0.306818181818182	2	SA004364R
SA004365S	PO000324J	Chagga	hka	78	0.064	0.064	1	78	0.205	0.205	1	SA004365S
SA004365S	PO000324J	Chagga	old	78	0.064	0.064	1	78	0.205	0.205	1	SA004365S
SA004365S	PO000324J	Chagga	vun	78	0.064	0.064	1	78	0.205	0.205	1	SA004365S
SA004365S	PO000324J	Chagga	rof	78	0.064	0.064	1	78	0.205	0.205	1	SA004365S
SA004365S	PO000324J	Chagga	jmc	78	0.064	0.064	1	78	0.205	0.205	1	SA004365S
SA004365S	PO000324J	Chagga	rwk	78	0.064	0.064	1	78	0.205	0.205	1	SA004365S
SA004366T	PO000661N	Sandawe	sad	132	0.1605	0.1605	2	130	0.3395	0.338707692307692	2	SA004366T
SA004367U	PO000807P	Zaramo	zaj	78	0.026	0.026	1	78	0.205	0.205	1	SA004367U
SA004367U	PO000807P	Zaramo	swa	78	0.026	0.026	1	78	0.205	0.205	1	SA004367U
SA004367U	PO000807P	Zaramo	swh	78	0.026	0.026	1	78	0.205	0.205	1	SA004367U
SA004368V	PO000015G	Jews_Ethiopian	amh	62	0.274	0.274	1	62	0.468	0.468	1	SA004368V
SA004368V	PO000015G	Jews_Ethiopian	tir	62	0.274	0.274	1	62	0.468	0.468	1	SA004368V
SA004368V	PO000015G	Jews_Ethiopian	gez	62	0.274	0.274	1	62	0.468	0.468	1	SA004368V
SA004368V	PO000015G	Jews_Ethiopian	awn	62	0.274	0.274	1	62	0.468	0.468	1	SA004368V
SA004368V	PO000015G	Jews_Ethiopian	byn	62	0.274	0.274	1	62	0.468	0.468	1	SA004368V
SA004368V	PO000015G	Jews_Ethiopian	xan	62	0.274	0.274	1	62	0.468	0.468	1	SA004368V
SA004368V	PO000015G	Jews_Ethiopian	ahg	62	0.274	0.274	1	62	0.468	0.468	1	SA004368V
SA004369W	PO000098R	African_Americans	eng	60	0.207	0.207	1	60	0.317	0.317	1	SA004369W
SA004370O	PO000085N	Jews_Yemenite	jye	74	0.446	0.446	1	74	0.595	0.595	1	SA004370O
SA004370O	PO000085N	Jews_Yemenite	heb	74	0.446	0.446	1	74	0.595	0.595	1	SA004370O
SA004371P	PO000095O	Samaritans	sam	76	0.684	0.684	1	76	0.658	0.658	1	SA004371P
SA004371P	PO000095O	Samaritans	heb	76	0.684	0.684	1	76	0.658	0.658	1	SA004371P
SA004371P	PO000095O	Samaritans	smp	76	0.684	0.684	1	76	0.658	0.658	1	SA004371P
SA004371P	PO000095O	Samaritans	ara	76	0.684	0.684	1	76	0.658	0.658	1	SA004371P
SA004371P	PO000095O	Samaritans	arb	76	0.684	0.684	1	76	0.658	0.658	1	SA004371P
SA004371P	PO000095O	Samaritans	ajp	76	0.684	0.684	1	76	0.658	0.658	1	SA004371P
SA004372Q	PO000038L	Jews_Ashkenazi	yid	48	0.313	0.313	1	48	0.729	0.729	1	SA004372Q
SA004372Q	PO000038L	Jews_Ashkenazi	heb	48	0.313	0.313	1	48	0.729	0.729	1	SA004372Q
SA004373R	PO000017I	Adygei	ady	42	0.381	0.381	1	42	0.881	0.881	1	SA004373R
SA004374S	PO000327M	Chuvash	chv	82	0.378	0.378	1	82	0.915	0.915	1	SA004374S
SA004375T	PO000453M	Hungarian	hun	82	0.525	0.525	1	82	0.817	0.817	1	SA004375T
SA004376U	PO000019K	Russians	rus	42	0.429	0.429	1	42	0.905	0.905	1	SA004376U
SA004377V	PO000018J	Finns	fin	50	0.42	0.42	1	50	0.9	0.9	1	SA004377V
SA004378W	PO000057M	Irish	gle	44	0.386	0.386	1	44	0.818	0.818	1	SA004378W
SA004378W	PO000057M	Irish	eng	44	0.386	0.386	1	44	0.818	0.818	1	SA004378W
SA004379X	PO000326L	Komi_Zyrian	kom	92	0.304	0.304	1	92	0.967	0.967	1	SA004379X
SA004379X	PO000326L	Komi_Zyrian	kpv	92	0.304	0.304	1	92	0.967	0.967	1	SA004379X
SA004380P	PO000325K	Khanty	kca	94	0.12	0.12	1	94	1	1	1	SA004380P
SA004381Q	PO000011C	Yakut	sah	42	0.071	0.071	1	42	0.976	0.976	1	SA004381Q
SA004382R	PO000063J	Micronesians	adz	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
SA004382R	PO000063J	Micronesians	aji	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
SA004382R	PO000063J	Micronesians	nrz	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
SA004382R	PO000063J	Micronesians	aie	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
SA004382R	PO000063J	Micronesians	omb	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
SA004382R	PO000063J	Micronesians	aty	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
SA004382R	PO000063J	Micronesians	akr	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
SA004382R	PO000063J	Micronesians	alu	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
SA004382R	PO000063J	Micronesians	laz	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
SA004382R	PO000063J	Micronesians	apr	66	0.273	0.273	1	66	0.818	0.818	1	SA004382R
